monomer_phi_per_total_atom,backbone_phi_per_total_atom
0.9741599999999994,0.9741599999999994
0.8761100000000002,0.8761100000000002
0.6135999601791939,0.6135999601791939
0.3687890999973353,0.3687890999973353
1.0,1.0
0.5625,0.5625
0.326530612244898,0.326530612244898
0.326573602084873,0.18658892128279886
0.26030145390103354,0.2109375
0.962620149519402,0.9434100477924439
0.920790336081245,0.8788750557407724
0.8863609332533171,0.824840735382678
0.8576057169677059,0.7791148342678644
0.8456183899364696,0.7599018843001185
0.8342949625822033,0.7416756830604245
0.782900688029385,0.6580999993991892
0.6944444444444444,0.6944444444444444
0.7346938775510204,0.5787037037037037
0.5625,0.5625
0.6399999999999998,0.421875
0.3510787934749154,0.2109375
